id;date_text;event_ref;context
d1;1898 год;;"Объяснения, обратившие на себя Высочайшее внимание, отчеркнуты; резолюции же Его Императорского Величества будут доложены в заседании Комитета. ВСЕПОДДАННЕЙШИЙ ОТЧЕТ ЕнисЕйского гражданского губЕрнатора за 1898 год I. ЕСТЕСТВЕННЫЕ И ПРОИЗВОДИТЕЛЬНЫЕ СИЛЫ ГУБЕРНИИ Население Енисейской губернии, по местным данным, можно считать достигшим до 590 000 чел. обоего пола: увеличение произошло за счет перевеса родившихся над умершими, приселения ссыльных и переселенцев, последних приблизительно зарегистрировано прибывшими в 1898 г. до 150 000 чел. обоего пола. Главный промысел населения — земледелие, и потому благосостояние и обеспечение продовольствием зависит преимущественно от урожая хлебов. Минувший 1898 г. был неблагоприятен для населения губернии в экономическом отношении. Урожай хлебов и трав в общем по губернии ниже среднего, местами полный неурожай. Холодная весна, при сильных ветрах, задержала повсеместно посевы, чем укоротила период произрастания, а проследовавшая затем продолжительная засуха задержала рост хлебов, на которые, кроме того, в степных местностях напала в громадном количестве кобылка, перейдя на хлеба вследствие выгорания трав на степи от засухи. Травы по тем же причинам уродились неудовлетворительными. В одном только Минусинском уезде, называемом житницею губернии, благодаря своевременно выпавшим дождям, посевы несколько оправились и дали удовлетворительный урожай, в уездах же Ачинском и Канском урожай оказался посредственным, а в Енисейском и особенно Красноярском настолько плохой, что некоторые селения Кежемской и Пинчугской"
d2;1898 г.;;"Объяснения, обратившие на себя Высочайшее внимание, отчеркнуты; резолюции же Его Императорского Величества будут доложены в заседании Комитета. ВСЕПОДДАННЕЙШИЙ ОТЧЕТ ЕнисЕйского гражданского губЕрнатора за 1898 год I. ЕСТЕСТВЕННЫЕ И ПРОИЗВОДИТЕЛЬНЫЕ СИЛЫ ГУБЕРНИИ Население Енисейской губернии, по местным данным, можно считать достигшим до 590 000 чел. обоего пола: увеличение произошло за счет перевеса родившихся над умершими, приселения ссыльных и переселенцев, последних приблизительно зарегистрировано прибывшими в 1898 г. до 150 000 чел. обоего пола. Главный промысел населения — земледелие, и потому благосостояние и обеспечение продовольствием зависит преимущественно от урожая хлебов. Минувший 1898 г. был неблагоприятен для населения губернии в экономическом отношении. Урожай хлебов и трав в общем по губернии ниже среднего, местами полный неурожай. Холодная весна, при сильных ветрах, задержала повсеместно посевы, чем укоротила период произрастания, а проследовавшая затем продолжительная засуха задержала рост хлебов, на которые, кроме того, в степных местностях напала в громадном количестве кобылка, перейдя на хлеба вследствие выгорания трав на степи от засухи. Травы по тем же причинам уродились неудовлетворительными. В одном только Минусинском уезде, называемом житницею губернии, благодаря своевременно выпавшим дождям, посевы несколько оправились и дали удовлетворительный урожай, в уездах же Ачинском и Канском урожай оказался посредственным, а в Енисейском и особенно Красноярском настолько плохой, что некоторые селения Кежемской и Пинчугской"
d3;1898 г.;;"Объяснения, обратившие на себя Высочайшее внимание, отчеркнуты; резолюции же Его Императорского Величества будут доложены в заседании Комитета. ВСЕПОДДАННЕЙШИЙ ОТЧЕТ ЕнисЕйского гражданского губЕрнатора за 1898 год I. ЕСТЕСТВЕННЫЕ И ПРОИЗВОДИТЕЛЬНЫЕ СИЛЫ ГУБЕРНИИ Население Енисейской губернии, по местным данным, можно считать достигшим до 590 000 чел. обоего пола: увеличение произошло за счет перевеса родившихся над умершими, приселения ссыльных и переселенцев, последних приблизительно зарегистрировано прибывшими в 1898 г. до 150 000 чел. обоего пола. Главный промысел населения — земледелие, и потому благосостояние и обеспечение продовольствием зависит преимущественно от урожая хлебов. Минувший 1898 г. был неблагоприятен для населения губернии в экономическом отношении. Урожай хлебов и трав в общем по губернии ниже среднего, местами полный неурожай. Холодная весна, при сильных ветрах, задержала повсеместно посевы, чем укоротила период произрастания, а проследовавшая затем продолжительная засуха задержала рост хлебов, на которые, кроме того, в степных местностях напала в громадном количестве кобылка, перейдя на хлеба вследствие выгорания трав на степи от засухи. Травы по тем же причинам уродились неудовлетворительными. В одном только Минусинском уезде, называемом житницею губернии, благодаря своевременно выпавшим дождям, посевы несколько оправились и дали удовлетворительный урожай, в уездах же Ачинском и Канском урожай оказался посредственным, а в Енисейском и особенно Красноярском настолько плохой, что некоторые селения Кежемской и Пинчугской"
d4;1898 г.;;4 волостей Енисейского уезда и три волости Красноярского уезда не возвратили даже посеянных семян. По местным статистическим данным, уродилось хлеба по губернии по сравнению с обыкновенными урожаями менее до 1 000 000 четв. Ввиду полученных от местной полиции сведений об экономической необеспеченности некоторой части населения Пинчугской и Кежемской волостей, было сделано немедленно распоряжение о выдаче продовольственных ссуд из хлебозапасных магазинов, а затем испрошено у Министерства внутренних дел 16 000 руб., заимообразно на три года, пострадавшему от неурожая населению для покупки посевного хлеба, который был приобретен в Минусинском уезде, сплавлен на казенном пароходе по Енисею к устью р. Ангары, но, к крайнему сожалению, вследствие запоздавшего разрешения воспользоваться для перевозки хлеба казенными пароходами, поздней осени и небывалого в 1898 г. мелководия по р. Ангаре, прекратившего даже пароходное сообщение по ней, посевное зерно не могло быть доставлено этою же осенью и доставлено весною в начале мая 1899 г., как только открылась навигация, ко времени посевов в этих северных местностях, начинающихся обыкновенно со второй половины мая. В целях выяснения и удовлетворения продовольственных нужд в Красноярском уезде, образована была особая продовольственная комиссия. По надлежащем исследовании было установлено, что за использованием продовольственных ссуд из хлебозапасных магазинов в четырех волостях уезда — Сухобузимской, Еловской, Заледеевской и Нахвальской — не хватит на посев зерна до 65 000 пуд., и признано было необходимым испросить чрез Иркутского военного генерал-губернатора у Министерства внутренних дел продовольственную ссуду в размере 50 000 руб. для своевременной закупки нужного количества посевного хлеба и для ссуды его земледельческому населению Красноярского уезда на срок не более трех лет. Хлеб был закуплен в Томской губернии, где был урожай, возможно выгоднее и с доставкою по железной дороге обошелся на 10–15 коп. дешевле базарной цены в Красноярском уезде.
d5;1899 г.;;4 волостей Енисейского уезда и три волости Красноярского уезда не возвратили даже посеянных семян. По местным статистическим данным, уродилось хлеба по губернии по сравнению с обыкновенными урожаями менее до 1 000 000 четв. Ввиду полученных от местной полиции сведений об экономической необеспеченности некоторой части населения Пинчугской и Кежемской волостей, было сделано немедленно распоряжение о выдаче продовольственных ссуд из хлебозапасных магазинов, а затем испрошено у Министерства внутренних дел 16 000 руб., заимообразно на три года, пострадавшему от неурожая населению для покупки посевного хлеба, который был приобретен в Минусинском уезде, сплавлен на казенном пароходе по Енисею к устью р. Ангары, но, к крайнему сожалению, вследствие запоздавшего разрешения воспользоваться для перевозки хлеба казенными пароходами, поздней осени и небывалого в 1898 г. мелководия по р. Ангаре, прекратившего даже пароходное сообщение по ней, посевное зерно не могло быть доставлено этою же осенью и доставлено весною в начале мая 1899 г., как только открылась навигация, ко времени посевов в этих северных местностях, начинающихся обыкновенно со второй половины мая. В целях выяснения и удовлетворения продовольственных нужд в Красноярском уезде, образована была особая продовольственная комиссия. По надлежащем исследовании было установлено, что за использованием продовольственных ссуд из хлебозапасных магазинов в четырех волостях уезда — Сухобузимской, Еловской, Заледеевской и Нахвальской — не хватит на посев зерна до 65 000 пуд., и признано было необходимым испросить чрез Иркутского военного генерал-губернатора у Министерства внутренних дел продовольственную ссуду в размере 50 000 руб. для своевременной закупки нужного количества посевного хлеба и для ссуды его земледельческому населению Красноярского уезда на срок не более трех лет. Хлеб был закуплен в Томской губернии, где был урожай, возможно выгоднее и с доставкою по железной дороге обошелся на 10–15 коп. дешевле базарной цены в Красноярском уезде.
d6;1899 г.;;5 Если неурожай отразился бедственно на старожилах, освоившихся уже с местными особенностями сельскоro хозяйства и промышленности, имеющих запасы хлеба в продовольственных магазинах, то тем затруднительнее оказалось положение переселенцев, не имеющих хлебных запасов, произведших в отчетном году первый посев на местах водворения, Красноярская продовольственная комиссия нашла необходимым выяснить потребность переселенцев в посевном хлебе, причем было признано, что принять особые меры к обеспечению переселенцев семенами надлежит не только в Красноярском уезде, но и в уездах Ачинском и особенно в Канском, где был, как выше сказано, весьма слабый урожай и где переселенцы нуждаются в особой помощи. В этих соображениях было испрошено у Министерства внутренних дел разрешение на выдачу ссуд переселенцам зерном на сумму до 15 000 руб. из зерна, закупленного в Томской губернии в счет вышеупомянутой продовольственной ссуды в 50 000 руб. Еще бедственнее оказалось положение ссыльных разных категорий, причисленных к волостям Енисейского и Красноярского уездов: те из них, которые, не имея своего хозяйства, питались заработками, за сокращением последних в этих уездах, принуждены были уйти с мест причислений из селений и наводнили города, и особенно губернский город Красноярск, ища работы для пропитания, хотя большинство из таких ссыльных не имеют права проживать в городах: я, ввиду неурожая, предоставлял им временное проживание в них, так как в последних гораздо легче достать работу, чем в селениях, постигнутых неурожаем. Кроме того, в феврале и марте 1899 г. в пособие ссыльным на пропитание были розданы 4 000 руб. из экономического поселенческого капитала и в апреле того же года ссыльным, занимающимся земледелием, было выдано в ссуду на посев до 3 000 руб. из этого же капитала. Наконец из сумм местного управления Красного Креста было распределено в пособие пострадавшим от неурожая в Красноярском уезде до нескольких сот рублей. Неурожай крайне невыгодно отразился на крестьянском хозяйстве, так как, не говоря уже о невозможности каких-либо
d7;1 января 1899 г.;;"6 улучшений сельского хозяйства при подобных условиях, самое положение его отчасти понизилось тем, с одной стороны, что в народе, исключая зажиточных людей, почти не осталось запасов хлеба, а с другой, ввиду означенного недостатка, явилась необходимость в сбыте домашнего скота в количестве большем, чем сбывается его обыкновенно, так, напр., самый усиленный сбыт был в Красноярском уезде, ибо только этим способом население могло, если не все, то частью уплатить налоги казенные и мирские, но, ввиду вообще достаточного количества скота, крестьянам не пришлось сбывать последний или рабочий скот. Значительный сплав хлеба из Минусинского уезда и подвоз его по железной дороге из Томской и Тобольской губерний не дали возможности чрезмерного повышения цен на хлеб в Енисейской губернии; цена на хлеб все время была умеренная и колебалась от 70 до 80 коп. пуд ржаной муки. К 1 января 1899 г. в 421 экономическом сельском магазине находилось налицо запасного хлеба: озимого и ярового 401 288 четв., менее чем в 1897 г. на 39 272 четв. в ссудах и недоимках 62 998 четв., более чем в 1897 г. на 49 000 четв. Увеличение недоимки произошло вследствие распоряжения не взыскивать их в отчетном году с населения, пострадавшего от неурожая. Поднявшаяся цена на пушнину, прекрасный улов рыбы в р. Ангаре, проданный по хорошей цене, предоставили населению неурожайных волостей Енисейского уезда Пинчугской и Кежемской такие денежные средства, что оно почти безнедоимочно уплатило подати, причем также служил источником для некоторых селений Пинчугской волости заработок на вновь отстраивающемся Манзинском солеваренном заводе. В Минусинским уезде, благодаря железной дороге, вывозная торговля значительно увеличилась и обогатилась совершенно новым продуктом для такой торговли, не имевшим ранее сбыта; так, из уезда в пределы Европейской России было отправлено до 100 000 пар куропаток, рябчиков и другой пернатой дичи, также вывезено значительно больше кедрового ореха, шерсти, конского волоса, скотских и конских кож."
d8;1897 г.;;"6 улучшений сельского хозяйства при подобных условиях, самое положение его отчасти понизилось тем, с одной стороны, что в народе, исключая зажиточных людей, почти не осталось запасов хлеба, а с другой, ввиду означенного недостатка, явилась необходимость в сбыте домашнего скота в количестве большем, чем сбывается его обыкновенно, так, напр., самый усиленный сбыт был в Красноярском уезде, ибо только этим способом население могло, если не все, то частью уплатить налоги казенные и мирские, но, ввиду вообще достаточного количества скота, крестьянам не пришлось сбывать последний или рабочий скот. Значительный сплав хлеба из Минусинского уезда и подвоз его по железной дороге из Томской и Тобольской губерний не дали возможности чрезмерного повышения цен на хлеб в Енисейской губернии; цена на хлеб все время была умеренная и колебалась от 70 до 80 коп. пуд ржаной муки. К 1 января 1899 г. в 421 экономическом сельском магазине находилось налицо запасного хлеба: озимого и ярового 401 288 четв., менее чем в 1897 г. на 39 272 четв. в ссудах и недоимках 62 998 четв., более чем в 1897 г. на 49 000 четв. Увеличение недоимки произошло вследствие распоряжения не взыскивать их в отчетном году с населения, пострадавшего от неурожая. Поднявшаяся цена на пушнину, прекрасный улов рыбы в р. Ангаре, проданный по хорошей цене, предоставили населению неурожайных волостей Енисейского уезда Пинчугской и Кежемской такие денежные средства, что оно почти безнедоимочно уплатило подати, причем также служил источником для некоторых селений Пинчугской волости заработок на вновь отстраивающемся Манзинском солеваренном заводе. В Минусинским уезде, благодаря железной дороге, вывозная торговля значительно увеличилась и обогатилась совершенно новым продуктом для такой торговли, не имевшим ранее сбыта; так, из уезда в пределы Европейской России было отправлено до 100 000 пар куропаток, рябчиков и другой пернатой дичи, также вывезено значительно больше кедрового ореха, шерсти, конского волоса, скотских и конских кож."
d9;1897 г.;;"6 улучшений сельского хозяйства при подобных условиях, самое положение его отчасти понизилось тем, с одной стороны, что в народе, исключая зажиточных людей, почти не осталось запасов хлеба, а с другой, ввиду означенного недостатка, явилась необходимость в сбыте домашнего скота в количестве большем, чем сбывается его обыкновенно, так, напр., самый усиленный сбыт был в Красноярском уезде, ибо только этим способом население могло, если не все, то частью уплатить налоги казенные и мирские, но, ввиду вообще достаточного количества скота, крестьянам не пришлось сбывать последний или рабочий скот. Значительный сплав хлеба из Минусинского уезда и подвоз его по железной дороге из Томской и Тобольской губерний не дали возможности чрезмерного повышения цен на хлеб в Енисейской губернии; цена на хлеб все время была умеренная и колебалась от 70 до 80 коп. пуд ржаной муки. К 1 января 1899 г. в 421 экономическом сельском магазине находилось налицо запасного хлеба: озимого и ярового 401 288 четв., менее чем в 1897 г. на 39 272 четв. в ссудах и недоимках 62 998 четв., более чем в 1897 г. на 49 000 четв. Увеличение недоимки произошло вследствие распоряжения не взыскивать их в отчетном году с населения, пострадавшего от неурожая. Поднявшаяся цена на пушнину, прекрасный улов рыбы в р. Ангаре, проданный по хорошей цене, предоставили населению неурожайных волостей Енисейского уезда Пинчугской и Кежемской такие денежные средства, что оно почти безнедоимочно уплатило подати, причем также служил источником для некоторых селений Пинчугской волости заработок на вновь отстраивающемся Манзинском солеваренном заводе. В Минусинским уезде, благодаря железной дороге, вывозная торговля значительно увеличилась и обогатилась совершенно новым продуктом для такой торговли, не имевшим ранее сбыта; так, из уезда в пределы Европейской России было отправлено до 100 000 пар куропаток, рябчиков и другой пернатой дичи, также вывезено значительно больше кедрового ореха, шерсти, конского волоса, скотских и конских кож."
d10;1897 г.;;7 Во всеподданнейшем отчете за 1897 г. я имел счастие докладывать Вашему Императорскому Величеству о благодетельном влиянии проведенной через губернию железной дороги, отразившемся на оживлении торговли, предоставлении возможности торговать лицам с небольшими денежными средствами, но вместе с тем упомянул, что, с проведением этой дороги, исконный промысел населения — извоз — пал, нанеся тем временный ущерб экономической деятельности населения, пока оно путем опыта, обратясь к другим промыслам и развив их, не восполнит этот ущерб, и, действительно, в губернии имеются все данные для широкого экономического развития: почва плодородная, изобилие естественных пастбищ, богатство флоры, разнообразие ископаемых, многоводные реки — все это может служить для развития и улучшения земледелия, скотоводства, пчеловодства, горной промышленности и рыболовства, при условии, конечно, если для разработки естественных богатств губернии будет принято рациональное хозяйство, если только будут улучшены и разумно использованы даже существующие теперь промыслы. Доброкачественные продукты, отвечая спросу, требующему более высокие достоинства их, найдут широкий круг покупателей и вне губернии, усилится вывозная торговля и край разбогатеет, но для этого необходимо научить население производить продукты требуемого достоинства. Чтобы улучшить местное скотоводство повышением качеств скота, было бы весьма полезно устроить на средства казны несколько случных пунктов в губернии и выбор производителей, привозных или же из лучших местных, подобно тому, как это организовано в Тобольской губернии. Случные пункты и рассадники улучшенного скота, без сомнения, значительно повысили бы продуктивность молочного скота, в целях быстрого развития маслоделия и вывоза сибирского масла не только на русские, но и на заграничные рынки, тем более, что в настоящее время существует направление — завязать и расширить торговлю с заграницей путем установления возможно правильного сообщения через Карское море с устьями р. Енисей. В предыдущих отчетах неоднократно указывалось, что, ввиду отсутствия в губернии помещичьих культурных К мин. земледелия и имущества
d11;1898 г.;;9 находятся по линии железной дороги в г. Ачинске. Красноярске, Канске и при станции Ольгинской в Канском уезде. В настоящее время деятельность этих складов не ограничивается сношениями с одними только переселенцами, но распространилась и на местное население, которое по сходной цене приобретает улучшенные сельскохозяйственные машины, орудия и семена. Предположено открыть подобный же склад в Минусинском уезде, что безусловно желательно. Немало способствовало бы развитию десяти складов открытие в Красноярском отделении Государственного банка мелкого кредита для приобретения упомянутых машин и орудий. Существующая в губернии немаловажная отрасль промышленности — рыбопромышленность нуждается точно также в устройстве вспомогательных учреждений и наследований для успешного и целесообразного развития ее. Енисейские крупные рыбопромышленники заявляли уже местному управлению государственными имуществами о готовности прийти на помощь своими пожертвованиями для устройства рыбной школы. В то же время среди этих же рыбопромышленников возникла мысль об организации артели для производства рыбного и звериного промыслов в Туруханском крае по р. Енисей и около устьев его, с целью объединения деятельности отдельных промышленников и постановки указанных промыслов на правильную почву. Проект устава такой артели представлен министру земледелия и государственных имуществ во время проезда его в 1898 г. по Енисейской губернии. В видах наиболее правильного развития рыбопромышленности, было бы вполне своевременно командирование специалиста ихтиолога для всестороннего исследования рыбных богатств края и учреждение правительственного контроля за рыбными промыслами. В качестве одной из косвенных мер, воспособляющих рыбопромышленности, является необходимость в отыскании залежей каменной соли в низовьях р. Енисей, так как соль солеваренных заводов Енисейской губернии, вследствие своей слабости, мало пригодна для целей рыбопромышленности и потому употребляется привозная соль, конечно, дорогая и удорожающая засолку рыбы. К министру финансов было бы желательноК мин. зем. и гос. имущ.
d12;1898 г.;;13 и для золотых промыслов. Бедность золотопромышленников не дает им возможности своими средствами привести приисковые дороги в такое состояние, которое давало бы возможность передвижения грузов во всякое время года, ввиду этого бывший в 1898 г. съезд золотопромышленников возбудил перед министром земледелия и государственных имуществ ходатайство о разрешении взимании повозного сбора с провозимой клади и прогоняемого на золотые прииски скота, в предположении, что названный сбор даст возможность в близком будущем привести в надлежащее состояние главные приисковые дороги. В видах облегчения частным лицам поисков золота в северном Енисейском горном округе, где всего более пала золотопромышленность, Правительством предприняты на счет вспомогательного фонда Сибирской железной дороги две крупных работы: топографическая съемка золотоносного района, начатая в 1897 г. и продолжавшаяся в 1898 г., и геологические исследования этого района, имеющие целью выяснить как характер месторождений золота в этом округе, так и условия их залегания. Было бы весьма полезным произвести подобные же исследования в обширном Ачинско-Минусинском горном округе, по крайней мере в тех его районах, кои более других представляются благонадежными к открытию минеральных богатств, как то: россыпного и коренного золота, каменного угля, каменной соли, железных, медных, серебряных руд, и исследования эти были бы тем более необходимыми, что в настоящее время этот горный округ привлек к себе многих предпринимателей и, судя по сделанным заявкам, богат полезными ископаемыми. Не менее принесло бы пользы учреждение в этом округе низшей горной школы, открытием, например, при Каратузском сельском училище двухгодичного дополнительного класса, посвященного преподаванию общих основных начал горного искусства, съемки и черчения. Прошедшая через Енисейскую губернию магистраль Великого Сибирского железнодорожного пути уже в настоящее время приносит неисчислимые выгоды для губернии, одна из которых, указанная выше, отразилась на уравнении цен на хлеб, несмотря на неурожай.
d13;1897 г.;;13 и для золотых промыслов. Бедность золотопромышленников не дает им возможности своими средствами привести приисковые дороги в такое состояние, которое давало бы возможность передвижения грузов во всякое время года, ввиду этого бывший в 1898 г. съезд золотопромышленников возбудил перед министром земледелия и государственных имуществ ходатайство о разрешении взимании повозного сбора с провозимой клади и прогоняемого на золотые прииски скота, в предположении, что названный сбор даст возможность в близком будущем привести в надлежащее состояние главные приисковые дороги. В видах облегчения частным лицам поисков золота в северном Енисейском горном округе, где всего более пала золотопромышленность, Правительством предприняты на счет вспомогательного фонда Сибирской железной дороги две крупных работы: топографическая съемка золотоносного района, начатая в 1897 г. и продолжавшаяся в 1898 г., и геологические исследования этого района, имеющие целью выяснить как характер месторождений золота в этом округе, так и условия их залегания. Было бы весьма полезным произвести подобные же исследования в обширном Ачинско-Минусинском горном округе, по крайней мере в тех его районах, кои более других представляются благонадежными к открытию минеральных богатств, как то: россыпного и коренного золота, каменного угля, каменной соли, железных, медных, серебряных руд, и исследования эти были бы тем более необходимыми, что в настоящее время этот горный округ привлек к себе многих предпринимателей и, судя по сделанным заявкам, богат полезными ископаемыми. Не менее принесло бы пользы учреждение в этом округе низшей горной школы, открытием, например, при Каратузском сельском училище двухгодичного дополнительного класса, посвященного преподаванию общих основных начал горного искусства, съемки и черчения. Прошедшая через Енисейскую губернию магистраль Великого Сибирского железнодорожного пути уже в настоящее время приносит неисчислимые выгоды для губернии, одна из которых, указанная выше, отразилась на уравнении цен на хлеб, несмотря на неурожай.
